시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22,202012,7,500,45,8,2020,강릉대로 285
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22,202012,10,"1,000",40,13,2020,강릉대로 285
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22,202012,12,"2,000",35,4,2020,강릉대로 285
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22,202012,12,"3,000",33,6,2020,강릉대로 285
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22,202012,18,500,40,7,2020,강릉대로 285
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22,202012,21,500,45,10,2020,강릉대로 285
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22,202012,27,300,50,14,2020,강릉대로 285
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202012,21,300,45,4,2016,사임당로 180
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,전세,18.66,202012,15,"7,200",0,3,2016,선수촌로 79-29
강원도 강릉시 홍제동,1035-1,1035,1,푸르벨라 1차,전세,23.39,202012,17,"7,800",0,4,2016, 
강원도 강릉시 홍제동,1035-1,1035,1,푸르벨라 1차,전세,23.39,202012,29,"8,000",0,6,2016, 
강원도 강릉시 홍제동,1019-3,1019,3,푸르벨라 2차,전세,21.42,202012,7,"7,500",0,4,null,선수촌로63번길 18-15
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,29.25,202012,8,"5,000",0,10,2007,북원로 2235-12
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202012,22,"4,800",0,9,2007,북원로 2235-12
강원도 원주시 단구동,1610-6,1610,6,정우월드피아,월세,50.08,202012,7,500,40,3,2015, 
강원도 원주시 단구동,1610-8,1610,8,정우월드피아[102동],월세,31.72,202012,29,500,33,10,2015, 
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,27.36,202012,7,"9,000",0,2,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202012,12,"8,000",0,6,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202012,16,"7,350",0,6,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202012,16,300,41,5,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202012,19,500,40,2,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202012,24,"9,500",0,7,2018,시청로 89-16
강원도 원주시 반곡동,Jun-03,1903,6,(1903-6),전세,33.6,202012,31,"9,500",0,12,2017, 
강원도 원주시 반곡동,Jan-05,1905,1,이노팰리스,전세,26.06,202012,2,"10,000",0,6,2016,미래로 39
강원도 원주시 반곡동,Jan-05,1905,1,이노팰리스,월세,26.06,202012,5,500,40,15,2016,미래로 39
강원도 원주시 반곡동,Jan-05,1905,1,이노팰리스,전세,26.06,202012,24,"8,000",0,8,2016,미래로 39
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202012,5,200,35,14,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202012,5,300,33,4,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202012,5,200,40,7,2016,양지로 58
강원도 원주시 반곡동,1882-1,1882,1,팰렉스골드,월세,27.21,202012,13,400,44,6,2017,배울로 86
강원도 원주시 우산동,Jan-86,86,1,원주퍼스티지더올림,월세,19.91,202012,7,500,40,19,2020,상지대길 9
강원도 원주시 우산동,Jan-86,86,1,원주퍼스티지더올림,월세,19.91,202012,12,500,40,4,2020,상지대길 9
강원도 원주시 우산동,Jan-86,86,1,원주퍼스티지더올림,월세,20.16,202012,13,500,40,4,2020,상지대길 9
강원도 원주시 우산동,Jan-86,86,1,원주퍼스티지더올림,월세,19.91,202012,13,500,40,14,2020,상지대길 9
강원도 원주시 우산동,Jan-86,86,1,원주퍼스티지더올림,월세,20.16,202012,25,500,40,15,2020,상지대길 9
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202012,30,300,36,19,2019,공지로 453
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,전세,32.66,202012,1,"9,000",0,6,2018,공지로 455
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,38.47,202012,1,500,56,14,2018,공지로 455
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,38.47,202012,5,"3,000",50,16,2018,공지로 455
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,20.19,202012,19,"5,000",5,14,2018,공지로 455
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,전세,37.56,202012,30,"13,000",0,5,2018,공지로 455
강원도 춘천시 온의동,515-3,515,3,트리플타워,월세,39.01,202012,7,500,40,7,2015, 
강원도 춘천시 퇴계동,369-9,369,9,남춘천역 코아루웰라움타워,전세,26.21,202012,4,"9,000",0,5,2020,남춘로 17
강원도 춘천시 퇴계동,369-9,369,9,남춘천역 코아루웰라움타워,월세,49.91,202012,14,"5,000",50,19,2020,남춘로 17
강원도 춘천시 퇴계동,369-9,369,9,남춘천역 코아루웰라움타워,전세,26.21,202012,24,"10,000",0,3,2020,남춘로 17
강원도 춘천시 퇴계동,369-9,369,9,남춘천역 코아루웰라움타워,전세,21.38,202012,29,"7,000",0,9,2020,남춘로 17
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,75.94,202012,12,"48,000",0,11,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,82.76,202012,19,"20,000",80,13,2019,덕수천2로 150
경기도 고양덕양구 동산동,368,368,0,e편한세상 시티 삼송3차,전세,75.93,202012,2,"50,000",0,21,2019,동송로 23-28
경기도 고양덕양구 동산동,369,369,0,이편한세상시티삼송,전세,73.51,202012,3,"44,000",0,16,2018,동송로 33
경기도 고양덕양구 동산동,369,369,0,이편한세상시티삼송,전세,77.51,202012,9,"50,000",0,10,2018,동송로 33
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,24.65,202012,1,"12,600",0,21,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,48.11,202012,4,"20,475",0,22,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,월세,48.11,202012,4,"2,000",90,17,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,47.89,202012,5,"18,900",0,13,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,24.65,202012,5,"11,025",0,10,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,월세,24.65,202012,5,"1,000",55,28,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,48.11,202012,7,"19,950",0,26,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,47.89,202012,9,"20,470",0,25,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,48.11,202012,12,"21,000",0,21,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,48.11,202012,12,"19,950",0,10,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,48.11,202012,15,"19,950",0,9,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,월세,24.65,202012,19,"13,000",1,10,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,월세,48.11,202012,23,"7,000",50,12,2018,삼송로 210
경기도 고양덕양구 삼송동,289,289,0,현대썬앤빌,전세,48.11,202012,31,"20,500",0,22,2018,삼송로 210
경기도 고양덕양구 삼송동,291,291,0,힐스테이트 삼송역,전세,84.55,202012,5,"56,000",0,21,2019,동송로 70
경기도 고양덕양구 원흥동,627,627,0,3호선 원흥역 봄오피스텔,전세,23.76,202012,4,"14,175",0,5,2018,권율대로 672
경기도 고양덕양구 원흥동,627,627,0,3호선 원흥역 봄오피스텔,전세,39.84,202012,24,"24,000",0,20,2018,권율대로 672
경기도 고양덕양구 원흥동,628,628,0,티오피클래식,전세,28.94,202012,4,"16,800",0,21,2018,권율대로 668
경기도 고양덕양구 주교동,611-1,611,1,고양 원당 줌시티,전세,38.14,202012,5,"21,000",0,5,2020,마상로126번길 91
경기도 고양덕양구 주교동,611-1,611,1,고양 원당 줌시티,전세,38.14,202012,19,"14,000",0,6,2020,마상로126번길 91
경기도 고양덕양구 주교동,611-1,611,1,고양 원당 줌시티,전세,38.14,202012,25,"20,000",0,5,2020,마상로126번길 91
경기도 고양덕양구 주교동,610-6,610,6,스카이 팰리스,전세,68.89,202012,22,"24,000",0,10,2017, 
경기도 고양덕양구 주교동,609-2,609,2,우분투포레스트,전세,38.72,202012,11,"15,000",0,2,2019,호국로777번길 11
경기도 고양덕양구 행신동,766-1,766,1,라온팰리스빌딩,월세,77.68,202012,14,"9,927",40,9,2019,소원로 111
경기도 고양덕양구 행신동,766-1,766,1,라온팰리스빌딩,월세,80.04,202012,24,"15,050",29,6,2019,소원로 111
경기도 고양덕양구 행신동,758-1,758,1,송악모노빌,전세,18,202012,12,"5,800",0,2,2002,용현로 21
경기도 고양덕양구 화정동,1148-6,1148,6,아이씨티일산,전세,31.52,202012,3,"21,000",0,10,2020,중앙로 612
경기도 고양덕양구 화정동,1148-6,1148,6,아이씨티일산,전세,31.52,202012,6,"22,000",0,6,2020,중앙로 612
경기도 고양덕양구 화정동,1148-6,1148,6,아이씨티일산,전세,31.52,202012,9,"22,000",0,5,2020,중앙로 612
경기도 고양덕양구 화정동,1148-6,1148,6,아이씨티일산,전세,31.52,202012,12,"21,000",0,10,2020,중앙로 612
경기도 고양덕양구 화정동,965,965,0,오벨리스크,월세,30.59,202012,11,"1,000",45,5,2003,화정로 65
경기도 고양덕양구 화정동,965,965,0,오벨리스크,월세,30.59,202012,30,500,55,15,2003,화정로 65
경기도 고양덕양구 화정동,984-7,984,7,우경싸이트빌,전세,34.34,202012,3,"13,000",0,14,2002,화신로272번길 11
경기도 고양덕양구 화정동,1148,1148,0,자인채오피스텔,월세,18.54,202012,5,500,48,12,2019,성신로 4
경기도 고양덕양구 화정동,1148,1148,0,자인채오피스텔,월세,18.54,202012,7,500,50,8,2019,성신로 4
경기도 고양덕양구 화정동,1148,1148,0,자인채오피스텔,전세,20.19,202012,8,"12,000",0,8,2019,성신로 4
경기도 고양덕양구 화정동,1000-1,1000,1,화정건영캐스빌플러스,월세,34.43,202012,9,500,44,6,2004,화신로 259
경기도 고양덕양구 화정동,1000-1,1000,1,화정건영캐스빌플러스,월세,43.68,202012,16,"1,000",55,12,2004,화신로 259
경기도 고양덕양구 화정동,1000-1,1000,1,화정건영캐스빌플러스,월세,41.16,202012,16,500,54,10,2004,화신로 259
경기도 고양덕양구 화정동,1000-1,1000,1,화정건영캐스빌플러스,월세,34.43,202012,18,500,36,13,2004,화신로 259
경기도 고양덕양구 화정동,986-8,986,8,화정대우마이빌,월세,31.92,202012,2,500,50,10,2003,백양로 59
경기도 고양덕양구 화정동,986-8,986,8,화정대우마이빌,전세,30.72,202012,9,"10,000",0,5,2003,백양로 59
경기도 고양덕양구 화정동,986-8,986,8,화정대우마이빌,전세,42.88,202012,31,"14,000",0,8,2003,백양로 59
경기도 고양일산동구 백석동,1239-2,1239,2,대방 샤인밸리,월세,37.57,202012,7,"2,000",50,2,2004,일산로 74-17
경기도 고양일산동구 백석동,1239-2,1239,2,대방 샤인밸리,전세,37.57,202012,9,"13,000",0,6,2004,일산로 74-17
경기도 고양일산동구 백석동,1239-2,1239,2,대방 샤인밸리,월세,34.45,202012,15,500,50,4,2004,일산로 74-17
경기도 고양일산동구 백석동,1239-2,1239,2,대방 샤인밸리,전세,37.57,202012,16,"13,000",0,10,2004,일산로 74-17
경기도 고양일산동구 백석동,1239-2,1239,2,대방 샤인밸리,월세,37.57,202012,21,500,58,7,2004,일산로 74-17
경기도 고양일산동구 백석동,1239-2,1239,2,대방 샤인밸리,전세,37.57,202012,30,"13,000",0,2,2004,일산로 74-17
경기도 고양일산동구 백석동,1325,1325,0,디아뜨 크리스탈,월세,34.18,202012,9,500,50,6,2004,일산로 16
